h,farm_id,weight
2015-1-1,Farm 18,6221
2015-1-1,Farm 19,6697
2015-1-1,Farm 20,3393
2015-1-1,Farm 21,11202
2015-1-1,Farm 22,3401
2015-1-1,Farm 23,10672
2015-1-1,Farm 25,6526
2015-1-1,Farm 26,10916
2015-1-1,Farm 27,11634
2015-1-1,Farm 28,9266
2015-1-1,Farm 30,12826
2015-1-1,Farm 31,10737
2015-1-1,Farm 32,16695
2015-1-1,Farm 33,17121
2015-1-1,Farm 34,3419
2015-1-1,Farm 35,7707
2015-1-1,Farm 37,2660
2015-1-1,Farm 38,7448
2015-1-1,Farm 39,2184
2015-1-1,Farm 40,14470
2015-1-1,Farm 41,12655
2015-1-1,Farm 42,7545
2015-1-1,Farm 43,10737
2015-1-1,Farm 45,12419
2015-1-1,Farm 46,4785
2015-1-1,Farm 47,13220
2015-1-1,Farm 48,2923
2015-1-1,Farm 50,14667
2015-1-1,Farm 51,12894
2015-1-1,Farm 52,17698
2015-1-1,Farm 53,6827
2015-1-1,Farm 54,9325
2015-1-1,Farm 55,16442
2015-1-1,Farm 57,2591
2015-1-1,Farm 58,13295
2015-1-1,Farm 59,8062
2015-1-1,Farm 60,7981
2015-1-1,Farm 61,2828
2015-1-1,Farm 62,4700
2015-1-1,Farm 63,3191
2015-1-1,Farm 64,10611
2015-1-1,Farm 65,10853
2015-1-1,Farm 67,7755
2015-1-1,Farm 68,14936
2015-1-1,Farm 69,9237
2015-1-1,Farm 70,10379
2015-1-1,Farm 71,12568
2015-1-1,Farm 72,13308
2015-1-1,Farm 73,15888
2015-1-1,Farm 74,5749
2015-1-1,Farm 75,16925
2015-1-1,Farm 76,13172
2015-1-1,Farm 77,9240
2015-1-1,Farm 78,15600
2015-1-1,Farm 80,16915
2015-1-1,Farm 81,5170
2015-1-1,Farm 82,14251
2015-1-1,Farm 83,12188
2015-1-1,Farm 84,3370
2015-1-1,Farm 85,3459
2015-1-1,Farm 86,9622
2015-1-1,Farm 89,16453
2015-1-1,Farm 90,7797
2015-1-1,Farm 91,6586
2015-1-1,Farm 92,7888
2015-1-1,Farm 93,5323
2015-1-1,Farm 94,15950
2015-1-1,Farm 97,9025
2015-1-1,Farm 98,7834
2015-1-1,Farm 99,4809
2015-1-1,Farm 100,9978
2015-1-1,Farm 101,9986
2015-1-1,Farm 102,8013
2015-1-1,Farm 103,9037
2015-1-1,Farm 104,15361
2015-1-1,Farm 106,17017
2015-1-1,Farm 107,6044
2015-1-1,Farm 109,14372
2015-1-1,Farm 110,14209
2015-1-1,Farm 111,8067
2015-1-1,Farm 112,11502
2015-1-1,Farm 115,2477
2015-1-1,Farm 116,4951
2015-1-1,Farm 117,7899
2015-1-2,Farm 18,12661
2015-1-2,Farm 19,9324
2015-1-2,Farm 20,10602
2015-1-2,Farm 21,8081
2015-1-2,Farm 22,6381
2015-1-2,Farm 23,15375
2015-1-2,Farm 24,10905
2015-1-2,Farm 25,4852
2015-1-2,Farm 26,9555
2015-1-2,Farm 27,12555
2015-1-2,Farm 28,4596
2015-1-2,Farm 29,10004
2015-1-2,Farm 30,10119
2015-1-2,Farm 31,3474
2015-1-2,Farm 32,8354
2015-1-2,Farm 33,2223
2015-1-2,Farm 34,6931
2015-1-2,Farm 35,16355
2015-1-2,Farm 36,11975
2015-1-2,Farm 37,14232
2015-1-2,Farm 38,14994
2015-1-2,Farm 39,12711
2015-1-2,Farm 40,3164
2015-1-2,Farm 41,5804
2015-1-2,Farm 42,14204
2015-1-2,Farm 43,8689
2015-1-2,Farm 44,5487
2015-1-2,Farm 45,3190
2015-1-2,Farm 46,12164
2015-1-2,Farm 47,8006
2015-1-2,Farm 48,17290
2015-1-2,Farm 49,5064
2015-1-2,Farm 50,8553
2015-1-2,Farm 51,6303
2015-1-2,Farm 52,7306
2015-1-2,Farm 53,14755
2015-1-2,Farm 54,16804
2015-1-2,Farm 55,8902
2015-1-2,Farm 56,11192
2015-1-2,Farm 57,14008
2015-1-2,Farm 58,10023
2015-1-2,Farm 59,9261
2015-1-2,Farm 60,2301
2015-1-2,Farm 61,5690
2015-1-2,Farm 62,2952
2015-1-2,Farm 63,17706
2015-1-2,Farm 64,15602
2015-1-2,Farm 65,6534
2015-1-2,Farm 66,16026
2015-1-2,Farm 67,9098
2015-1-2,Farm 68,3363
