date,farm_id,weight
2017-5-1,Farm 118,5504
2017-5-1,Farm 119,10720
2017-5-1,Farm 120,13413
2017-5-1,Farm 121,2487
2017-5-1,Farm 122,8811
2017-5-2,Farm 118,17395
2017-5-2,Farm 119,17796
2017-5-2,Farm 120,4973
2017-5-2,Farm 121,4135
2017-5-2,Farm 122,4756
2017-5-3,Farm 118,5528
2017-5-3,Farm 119,6823
2017-5-3,Farm 120,15905
2017-5-3,F24UOY,15576
2017-5-3,Farm 122,7812
2017-5-4,Farm 118,G29VQX
2017-5-4,Farm 119,6633
2017-5-4,Farm 120,3338
2017-5-4,Farm 121,15666
2017-5-4,Farm 122,16146
2017-5-5,Farm 118,7857
2017-5-5,ODHCZT,15799
2017-5-5,Farm 120,3318
2017-5-5,Farm 121,12292
2017-5-5,Farm 122,8180
2017-5-6,Farm 118,14430
2017-5-6,Farm 119,5833
2017-5-6,Farm 120,8638
4D9OY3,Farm 121,12717
R9WVNW,Farm 122,17871
2017-5-7,6PWB18,5485
2017-5-7,4040HL,13898
2017-5-7,Farm 120,17920
2017-5-7,Farm 121,2242
2017-5-7,Farm 122,1KG1FD
2017-5-8,Farm 118,12783
2017-5-8,Farm 119,985TBI
2017-5-8,Farm 120,13300
2017-5-8,Farm 121,17426
2017-5-8,OBDYVS,17566
2017-5-9,5305A5,6687
2017-5-9,Farm 119,15987
2017-5-9,Farm 120,2846
2017-5-9,L4FMEB,15541
2017-5-9,Farm 122,16774
2017-5-10,Farm 118,5797
2017-5-10,LNCV4Z,11016
2017-5-10,Farm 120,16475
2017-5-10,Farm 121,6898
2017-5-10,Farm 122,AY2NZY
2017-5-11,Farm 118,17333
2017-5-11,Farm 119,17067
LCLD4E,Farm 120,13111
2017-5-11,Farm 121,14536
IRC9OK,Farm 122,5077
2017-5-12,Farm 118,GXGRJU
2017-5-12,Farm 119,13718
2017-5-12,Farm 120,4191
2017-5-12,Farm 121,5828
2017-5-12,Farm 122,4866
XDF5P1,Farm 118,8861
2017-5-13,MDU14X,7698
2017-5-13,Farm 120,5765
2017-5-13,Farm 121,10461
2017-5-13,Farm 122,12495
2017-5-14,Farm 118,16012
2017-5-14,Farm 119,12835
2017-5-14,U47RQE,4817
2017-5-14,Farm 121,9993
2017-5-14,Farm 122,15229
2017-5-15,Farm 118,4040
2017-5-15,Farm 119,15824
2017-5-15,Farm 120,2815
2017-5-15,Farm 121,14631
2017-5-15,Farm 122,10842
2017-5-16,Farm 118,14636
2017-5-16,Farm 119,2961
2017-5-16,Farm 120,KDNMP9
2017-5-16,Farm 121,6031
2017-5-16,Farm 122,7118
2017-5-17,02STUJ,3777
2017-5-17,EEXSNZ,8005
2017-5-17,Farm 120,6523
2017-5-17,Farm 121,6421
2017-5-17,Farm 122,13207
2017-5-18,Farm 118,15474
I34F2E,Farm 119,10327
2017-5-18,Farm 120,Z1VFY2
2017-5-18,Farm 121,13834
2017-5-18,SMOSOJ,16108
2017-5-19,Farm 118,13272
2017-5-19,Farm 119,16975
2017-5-19,Farm 120,4676
2017-5-19,Farm 121,8Y4SB4
2017-5-19,Farm 122,7335
2017-5-20,Farm 118,7994
2017-5-20,Farm 119,7441
2017-5-20,ABCVZ0,10775
2017-5-20,Farm 121,9761
2017-5-20,Farm 122,11385
2017-5-21,Farm 118,8538
2017-5-21,Farm 119,11452
2017-5-21,Farm 120,17679
2017-5-21,Farm 121,5899
2017-5-21,Farm 122,8983
2017-5-22,Farm 118,3141
2017-5-22,Farm 119,13428
2017-5-22,Farm 120,15571
2017-5-22,Farm 121,12933
2017-5-22,Farm 122,11385
2017-5-23,Farm 118,8419
2017-5-23,Farm 119,9097
2017-5-23,Farm 120,6990
2017-5-23,Farm 121,13186
2017-5-23,Farm 122,6867
2017-5-24,Farm 118,14151
2017-5-24,Farm 119,14460
2017-5-24,Farm 120,7025
2017-5-24,Farm 121,6484
2017-5-24,Farm 122,11299
2017-5-25,Farm 118,7846
2017-5-25,Farm 119,2761
2017-5-25,Farm 120,15629
2017-5-25,Farm 121,8616
2017-5-25,Farm 122,6520
575HO6,Farm 118,9124
2017-5-26,Farm 119,14062
2017-5-26,Farm 120,2152
2017-5-26,Farm 121,9966
2017-5-26,Farm 122,16780
2017-5-27,Farm 118,9988
2017-5-27,Farm 119,10871
QMA01H,Farm 120,15724
2017-5-27,4BMCIA,12842
2017-5-27,Farm 122,10225
2017-5-28,Farm 118,8659
TXRUFE,Farm 119,7082
2017-5-28,Farm 120,17367
12QWQ6,Farm 121,7430
2017-5-28,Farm 122,9542
2017-5-29,Z3O4NS,6823
2017-5-29,Farm 119,4037
2017-5-29,Farm 120,6231
2017-5-29,HIPD3Y,6873
2017-5-29,Farm 122,8928
2017-5-30,Farm 118,F3JP9U
2017-5-30,Farm 119,4065
2017-5-30,Farm 120,8529
2017-5-30,Farm 121,9213
2017-5-30,Farm 122,3133
2017-5-31,Farm 118,3519
JNTPWB,Farm 119,17180
2017-5-31,Farm 120,4603
2017-5-31,Farm 121,11191
2017-5-31,Farm 122,6660
