date,fa-m_id,weight
2017-11-1,Fa-m 123,2550
2017-11-1,Fa-m 124,2669
2017-11-2,Fa-m 123,2679
2017-11-2,-,2390
2017-11-2,Fa-m 125,2972
2017-11-3,Fa-m 123,2981
2017-11-3,Fa-m 124,2284
2017-11-4,Fa-m 123,2790
2017-11-4,Fa-m 124,2588
2017-11-4,Fa-m 125,2446
2017-11-5,Fa-m 123,2326
2017-11-5,Fa-m 124,2192
-,Fa-m 123,2111
2017-11-6,Fa-m 124,2580
2017-11-6,Fa-m 125,2787
2017-11-7,Fa-m 123,2400
2017-11-7,Fa-m 124,2057
2017-11-8,Fa-m 123,2862
2017-11-8,Fa-m 124,2441
2017-11-8,Fa-m 125,-
2017-11-9,Fa-m 123,-
2017-11-9,Fa-m 124,2259
2017-11-10,Fa-m 123,2118
2017-11-10,Fa-m 124,2606
2017-11-10,Fa-m 125,2554
2017-11-11,Fa-m 123,2974
2017-11-11,Fa-m 124,2965
2017-11-12,Fa-m 123,-
2017-11-12,Fa-m 124,2867
2017-11-12,Fa-m 125,2781
2017-11-13,Fa-m 123,2649
2017-11-13,Fa-m 124,2603
2017-11-14,Fa-m 123,2692
2017-11-14,Fa-m 124,2046
-,Fa-m 125,2409
2017-11-15,Fa-m 123,-
2017-11-15,Fa-m 124,2407
2017-11-16,Fa-m 123,2230
2017-11-16,Fa-m 124,2517
2017-11-16,Fa-m 125,2731
2017-11-17,-,2747
2017-11-17,Fa-m 124,2827
2017-11-18,Fa-m 123,2666
2017-11-18,Fa-m 124,2462
2017-11-18,Fa-m 125,2263
2017-11-19,Fa-m 123,2749
2017-11-19,Fa-m 124,2496
2017-11-20,Fa-m 123,-
2017-11-20,Fa-m 124,2733
2017-11-20,Fa-m 125,2289
2017-11-21,Fa-m 123,2578
2017-11-21,Fa-m 124,2425
-,Fa-m 123,2372
2017-11-22,Fa-m 124,-
2017-11-22,Fa-m 125,2885
2017-11-23,Fa-m 123,2576
2017-11-23,Fa-m 124,2733
2017-11-24,Fa-m 123,2217
2017-11-24,Fa-m 124,2263
2017-11-24,Fa-m 125,2064
2017-11-25,Fa-m 123,2132
2017-11-25,Fa-m 124,2766
-,Fa-m 123,2693
2017-11-26,Fa-m 124,2316
2017-11-26,Fa-m 125,2968
2017-11-27,Fa-m 123,2267
2017-11-27,Fa-m 124,2705
2017-11-28,Fa-m 123,2977
2017-11-28,Fa-m 124,2779
2017-11-28,Fa-m 125,2033
2017-11-29,Fa-m 123,2599
2017-11-29,Fa-m 124,2588
2017-11-30,Fa-m 123,2956
2017-11-30,Fa-m 124,2091
2017-11-30,Fa-m 125,2330
